2022-05-20 11:26:46,177 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '查询')]")
2022-05-20 11:26:46,177 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '查询')]")
2022-05-20 11:26:48,218 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', '(//tr/td)[2]/div')的文本
2022-05-20 11:26:48,218 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', '(//tr/td)[2]/div')
2022-05-20 11:26:49,237 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//span[contains(@class, 'el-checkbox__input')])[1]")
2022-05-20 11:26:49,237 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//span[contains(@class, 'el-checkbox__input')])[1]")
2022-05-20 11:26:49,256 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '批量指派')]")
2022-05-20 11:26:49,257 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '批量指派')]")
2022-05-20 11:26:50,302 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '是')]")
2022-05-20 11:26:50,302 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '是')]")
2022-05-20 11:26:51,327 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', "//p[contains(@class, 'el-message__content')]")的文本
2022-05-20 11:26:51,327 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//p[contains(@class, 'el-message__content')]")
2022-05-20 11:26:52,349 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '已指派')]")
2022-05-20 11:26:52,349 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '已指派')]")
2022-05-20 11:26:53,423 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '导出')]")
2022-05-20 11:26:53,423 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '导出')]")
2022-05-20 11:26:53,478 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "((//span[contains(text(), '选择导出的列')])[1]/parent::label/span)[1]")
2022-05-20 11:26:53,478 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "((//span[contains(text(), '选择导出的列')])[1]/parent::label/span)[1]")
2022-05-20 11:26:53,624 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//button[contains(@class, 'el-transfer__button')])[2]")
2022-05-20 11:26:53,625 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//button[contains(@class, 'el-transfer__button')])[2]")
2022-05-20 11:26:53,701 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//span[contains(text(), '导出')])[5]")
2022-05-20 11:26:53,701 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//span[contains(text(), '导出')])[5]")
